X,Y,fid,indice,nome,comentario,altitude,data,zona,northing,easting,turismo,lat,long,icon_url
-43.8733900016278,-21.6716699990499,"31","31",MG-49,Cachoeirinha,1517,26/11/2019 10:39:54,23K,7603090.61607,616560.919,Sim,-21.671669999,-43.8733900016,./0.png
-43.8830229491594,-21.6777375824873,"32","32",MG-403,Três Arcos,1665,26/11/2019 10:40:40,23K,7602426.16025,615559.34886,Sim,-21.6777375825,-43.8830229492,./0.png
-43.8795829993759,-21.6754799980972,"33","33",MG-1881,Maritaca,1610,26/11/2019 10:41:31,23K,7602673.50107,615917.075,Não,-21.6754799981,-43.8795829994,./0.png
-43.8809341170302,-21.6753108470253,"34","35",MG-2420,Moreiras A,1637,25/03/2021 10:20:20,23K,7602693.23483,615777.41197,Não,-21.675310847,-43.880934117,./0.png
-43.871225,-21.7001439,"35","42",MG-2426,PEIB_A2_01,1674,25/03/2021 10:20:20,23K,7599936.99825,616761.9859,Não,-21.7001439,-43.871225,./0.png
-43.8927691,-21.697913,"36","39",MG-2430,PEIB_B2_01,1576,25/03/2021 10:20:20,23K,7600200.03454,614534.99533,Não,-21.697913,-43.8927691,./0.png
-43.8926719,-21.716929,"37","41",MG-2428,PEIB_B4_02,1218,25/03/2021 10:20:20,23K,7598094.9452,614530.0018,Não,-21.716929,-43.8926719,./0.png
-43.8981207,-21.716152,"38","38",MG-2431,PEIB_A4_01,1310,25/03/2021 10:20:20,23K,7598184.97801,613966.99826,Não,-21.716152,-43.8981207,./0.png
-43.8979834,-21.694813,"39","40",MG-2432,PEIB_B1_02,1637,25/03/2021 10:20:20,23K,7600547.04034,613998.00544,Não,-21.694813,-43.8979834,./0.png
-43.8962649,-21.705968,"40","36",MG-2427,PEIB_A3_03,1438,25/03/2021 10:20:20,23K,7599310.95024,614166.99501,Não,-21.705968,-43.8962649,./0.png
-43.8976163,-21.7011345,"41","37",MG-2429,PEIB_A3_05,1539,25/03/2021 10:20:20,23K,7599846.99966,614031.00513,Não,-21.7011345,-43.8976163,./0.png
-43.8968265,-21.705845,"42","43",MG-2425,PEIB_A3_01,1450,25/03/2021 10:20:20,23K,7599324.97983,614108.99653,Não,-21.705845,-43.8968265,./0.png
-43.8823065052401,-21.6766286343331,"43","34",MG-269,Fugitivo,1650,25/03/2021 10:20:20,23K,7602548.38352,615634.36169,Sim,-21.6766286343,-43.8823065052,./0.png
