qc_id,objectid,tipo,icon_url
"394","395",Galeria,./0.png
"395","396",Galeria,./0.png
"396","397",Galeria,./0.png
"397","398",Galeria,./0.png
"398","399",Mundéu,./7.png
"399","400",Mundéu,./7.png
"400","401",Sarilho,./4.png
"401","402",Barragem,./3.png
"402","403",Ruínas,./6.png
"403","404",Ruínas,./6.png
"404","405",Galeria,./0.png
"405","406",Galeria,./0.png
"406","407",Galeria,./0.png
"407","408",Galeria,./0.png
"408","409",Aqueduto,./2.png
"409","410",Barragem,./3.png
"410","411",Galeria,./0.png
"411","412",Galeria,./0.png
"412","413",Galeria,./0.png
"413","414",Galeria,./0.png
"414","415",Galeria,./0.png
"415","416",Ruínas,./6.png
"416","417",Sarilho,./4.png
"417","418",Sarilho,./4.png
"418","419",Sarilho,./4.png
"419","420",Sarilho,./4.png
"420","421",Sarilho,./4.png
"421","422",Sarilho,./4.png
"422","423",Sarilho,./4.png
"423","424",Sarilho,./4.png
"424","425",Ruínas,./6.png
"425","426",Galeria,./0.png
"426","427",Galeria,./0.png
"427","428",Galeria,./0.png
"428","429",Galeria,./0.png
"429","430",Galeria,./0.png
"430","431",Sarilho,./4.png
"431","432",Galeria,./0.png
"432","433",Galeria,./0.png
"433","434",Ruínas,./6.png
"434","435",Ruínas,./6.png
"435","436",Ruínas,./6.png
"436","437",Ruínas,./6.png
"437","438",Ruínas,./6.png
"438","439",Ruínas,./6.png
"439","440",Ruínas,./6.png
"440","441",Ruínas,./6.png
"441","442",Ruínas,./6.png
"442","443",Ruínas,./6.png
"443","444",Galeria,./0.png
"444","445",Galeria,./0.png
"445","446",Galeria,./0.png
"446","447",Galeria,./0.png
"447","448",Galeria,./0.png
"448","449",Galeria,./0.png
"449","450",Galeria,./0.png
"450","451",Galeria,./0.png
"451","452",Galeria,./0.png
"452","453",Galeria,./0.png
"453","454",Galeria,./0.png
"454","455",Galeria,./0.png
"455","456",Galeria,./0.png
"456","457",Muro,./5.png
"457","458",Galeria,./0.png
"458","459",Galeria,./0.png
"459","460",Galeria,./0.png
"460","461",Caverna,./19.png
"461","462",Caverna,./19.png
"462","463",Galeria,./0.png
"463","464",Galeria,./0.png
"464","465",Galeria,./0.png
"465","466",Galeria,./0.png
"466","467",Galeria,./0.png
"467","468",Galeria,./0.png
"468","469",Galeria,./0.png
"469","470",Caverna,./19.png
"470","471",Galeria,./0.png
"471","472",Galeria,./0.png
"472","473",Galeria,./0.png
